english,translation,pos,example,is_phrasal
look up,искать (в словаре),phrasal,Look up the word in the dictionary.,true
give up,сдаться,phrasal,Don't give up now.,true
take off,снимать; взлетать,phrasal,The plane took off on time.,true
put on,надевать,phrasal,Put on your coat.,true
turn on,включить,phrasal,Turn on the light.,true
turn off,выключить,phrasal,Turn off the TV.,true
get up,вставать,phrasal,I get up at seven.,true
sit down,садиться,phrasal,Please sit down.,true
stand up,вставать,phrasal,Stand up when she enters.,true
come back,возвращаться,phrasal,Come back tomorrow.,true
go on,продолжать,phrasal,Go on with your story.,true
find out,узнавать,phrasal,I found out the truth.,true
work out,тренироваться; решать,phrasal,She works out every morning.,true
break down,ломаться,phrasal,The car broke down.,true
break up,расставаться,phrasal,They broke up last week.,true
bring up,воспитывать; поднимать тему,phrasal,He was brought up by his grandmother.,true
call back,перезвонить,phrasal,I'll call you back later.,true
calm down,успокоиться,phrasal,Calm down and tell me what happened.,true
carry on,продолжать,phrasal,Carry on with your work.,true
check in,регистрироваться,phrasal,We checked in at noon.,true
check out,выписываться; проверить,phrasal,Check out this article.,true
come across,случайно встретить,phrasal,I came across an old friend.,true
come up with,придумать,phrasal,She came up with a great idea.,true
cut off,отрезать; прекращать,phrasal,They cut off our electricity.,true
deal with,иметь дело с,phrasal,I'll deal with this problem.,true
fall asleep,засыпать,phrasal,He fell asleep on the couch.,true
figure out,разобраться,phrasal,Can you figure out the answer?,true
fill in,заполнять,phrasal,Fill in the form.,true
get along,ладить,phrasal,They get along well.,true
get back,вернуться,phrasal,When did you get back?,true
get off,выходить (из транспорта),phrasal,Get off at the next stop.,true
get on,садиться (в транспорт),phrasal,Get on the bus.,true
get over,преодолеть,phrasal,She got over her illness.,true
go ahead,продолжать,phrasal,Go ahead and start without me.,true
hang on,подождать,phrasal,Hang on a moment.,true
hang out,проводить время,phrasal,We hang out on weekends.,true
hold on,подождать,phrasal,Hold on a second.,true
keep up,не отставать,phrasal,Keep up the good work.,true
let down,подводить,phrasal,Don't let me down.,true
look after,заботиться,phrasal,She looks after her brother.,true
look for,искать,phrasal,I'm looking for my keys.,true
look forward to,ждать с нетерпением,phrasal,I look forward to seeing you.,true
make up,мириться; выдумывать,phrasal,They made up after the fight.,true
pick up,поднимать; забирать,phrasal,Pick up the kids at six.,true
point out,указывать,phrasal,She pointed out the error.,true
put off,откладывать,phrasal,Don't put off your homework.,true
run out of,закончиться,phrasal,We ran out of milk.,true
set up,настраивать,phrasal,Set up the meeting for Friday.,true
show up,появиться,phrasal,He didn't show up.,true
take care of,заботиться о,phrasal,Take care of yourself.,true
