english,translation,frequency_rank,pos,example,is_phrasal
come,приходить; приезжать; наступать,1,verb,,false
get,получать; добывать; становиться,2,verb,,false
give,давать; дарить; предоставлять,3,verb,,false
go,идти; ехать; уходить,4,verb,,false
keep,держать; хранить; сохранять,5,verb,,false
let,позволять; пускать; давать,6,verb,,false
make,делать; изготавливать; заставлять,7,verb,,false
put,класть; ставить; помещать,8,verb,,false
seem,казаться; представляться,9,verb,,false
take,брать; взять; принимать,10,verb,,false
be,быть; являться; находиться,11,verb,,false
do,делать; выполнять,12,verb,,false
have,иметь; обладать,13,verb,,false
say,говорить; сказать,14,verb,,false
see,видеть; понимать,15,verb,,false
send,посылать; отправлять,16,verb,,false
may,мочь; может быть,17,modal,,false
will,будет; буду (будущее время),18,modal,,false
about,о; около; приблизительно,19,prep,,false
across,через; поперёк,20,prep,,false
after,после; за,21,prep,,false
against,против; о,22,prep,,false
among,среди; между,23,prep,,false
at,в; у; на,24,prep,,false
before,перед; до,25,prep,,false
between,между,26,prep,,false
by,к; около; посредством,27,prep,,false
down,вниз; внизу,28,prep,,false
from,из; от,29,prep,,false
in,в; внутри,30,prep,,false
off,с; от; прочь,31,prep,,false
on,на; в,32,prep,,false
over,над; через; сверх,33,prep,,false
through,через; сквозь,34,prep,,false
to,к; до,35,prep,,false
under,под,36,prep,,false
up,вверх; наверх,37,prep,,false
with,с; вместе с,38,prep,,false
as,как; в качестве; поскольку,39,conj,,false
for,для; ради; за,40,prep,,false
of,из; от; о,41,prep,,false
till,до; пока не,42,prep,,false
than,чем,43,conj,,false
a,(неопределённый артикль),44,det,,false
the,(определённый артикль),45,det,,false
all,весь; все; всё,46,det,,false
any,любой; какой-нибудь,47,det,,false
every,каждый; всякий,48,det,,false
little,маленький; немного,49,det,,false
much,много,50,det,,false
no,нет; никакой,51,det,,false
other,другой; иной,52,det,,false
some,некоторый; несколько,53,det,,false
such,такой,54,det,,false
that,тот; этот; что,55,det,,false
this,этот,56,det,,false
i,я,57,pron,,false
he,он,58,pron,,false
you,ты; вы,59,pron,,false
who,кто; который,60,pron,,false
and,и; а,61,conj,,false
because,потому что; так как,62,conj,,false
but,но; а,63,conj,,false
or,или,64,conj,,false
if,если,65,conj,,false
though,хотя; несмотря на,66,conj,,false
while,пока; в то время как,67,conj,,false
how,как; каким образом,68,adv,,false
when,когда,69,adv,,false
where,где; куда,70,adv,,false
why,почему; зачем,71,adv,,false
again,снова; опять,72,adv,,false
ever,когда-либо; всегда,73,adv,,false
far,далеко; намного,74,adv,,false
forward,вперёд,75,adv,,false
here,здесь; сюда,76,adv,,false
near,близко; рядом,77,adv,,false
now,сейчас; теперь,78,adv,,false
out,наружу; вне,79,adv,,false
still,всё ещё; тихо,80,adv,,false
then,тогда; затем,81,adv,,false
there,там; туда,82,adv,,false
together,вместе,83,adv,,false
well,хорошо; колодец,84,adv,,false
almost,почти,85,adv,,false
enough,достаточно,86,adv,,false
even,даже; ровный,87,adv,,false
not,не; нет,88,adv,,false
only,только; лишь,89,adv,,false
quite,вполне; довольно,90,adv,,false
so,так; настолько,91,adv,,false
very,очень,92,adv,,false
tomorrow,завтра,93,adv,,false
yesterday,вчера,94,adv,,false
north,север,95,noun,,false
south,юг,96,noun,,false
east,восток,97,noun,,false
west,запад,98,noun,,false
please,пожалуйста,99,interj,,false
yes,да,100,interj,,false
account,счёт; отчёт; учёт,101,noun,,false
act,действие; поступок; акт,102,noun,,false
addition,сложение; добавление; прибавление,103,noun,,false
adjustment,регулировка; настройка; корректировка,104,noun,,false
advertisement,объявление; реклама,105,noun,,false
agreement,соглашение; согласие; договор,106,noun,,false
air,воздух; вид,107,noun,,false
amount,количество; сумма,108,noun,,false
amusement,развлечение; забава,109,noun,,false
animal,животное; зверь,110,noun,,false
answer,ответ; отклик,111,noun,,false
apparatus,аппарат; прибор; устройство,112,noun,,false
approval,одобрение; утверждение,113,noun,,false
argument,спор; довод; аргумент,114,noun,,false
art,искусство; мастерство,115,noun,,false
attack,атака; нападение; приступ,116,noun,,false
attempt,попытка; покушение,117,noun,,false
attention,внимание; забота,118,noun,,false
attraction,притяжение; привлекательность,119,noun,,false
