english,translation,frequency_rank,pos,example,is_phrasal
Miller time,время отдохнуть; пора выпить пива (разг.),30001,idiom,,false
riffraff,сброд; шваль (пренебр.),30002,noun,,false
roll down the window,опустить стекло (в машине),30003,phrase,,false
mailing it in,халтурить; работать спустя рукава,30004,idiom,,false
had it coming to him,сам напросился; так ему и надо,30005,idiom,,false
cut the cheese,пукнуть (груб.),30006,idiom,,false
cheesy,"дешёвый, безвкусный; банальный, приторный (разг.)",30007,adj,,false
a ways to go,ещё далеко; путь неблизкий,30008,idiom,,false
to pull up (a car),подъехать и остановиться (о машине),30009,phrasal,,true
to pull up,подтянуться (на турнике); подъехать,30010,phrasal,,true
the more the merrier,"чем больше, тем веселее",30011,idiom,,false
to let someone dangle,держать в подвешенном состоянии; томить ожиданием,30012,idiom,,false
rusty,подзабытый; растерявший навык; заржавевший,30013,adj,,false
sick as a dog,совсем больной; еле живой,30014,idiom,,false
I'll take,"я возьму…; мне, пожалуйста…",30015,phrase,,false
sound too hot,звучит не очень; так себе,30016,idiom,,false
Vacay,отпуск; каникулы (разг.),30017,noun,,false
A/C,кондиционер,30018,noun,,false
Caught Me Off Guard,застало меня врасплох,30019,idiom,,false
ish,примерно; около того; вроде (разг.),30020,adv,,false
It's not over 'til the fat lady sings,ещё ничего не решено; рано делать выводы,30021,idiom,,false
jot down,записать; черкнуть,30022,phrasal,,true
shoes to fill,высокая планка предшественника; трудно соответствовать,30023,idiom,,false
bum (four meanings!),бродяга; зад; лентяй; никудышный (разг.),30024,noun,,false
look the part,выглядеть подобающе; соответствовать роли,30025,idiom,,false
lickety-split,мигом; в два счёта (разг.),30026,adv,,false
to chicken out,струсить; пойти на попятную,30027,phrasal,,true
out of the blue,как гром среди ясного неба; внезапно,30028,idiom,,false
a pipe dream,несбыточная мечта; пустые мечты,30029,idiom,,false
y'all,вы все (южн. разг.),30030,phrase,,false
20/20,стопроцентное зрение; идеальное,30031,idiom,,false
too good for your own good,себе во вред (от излишнего совершенства),30032,idiom,,false
read between the lines,читать между строк,30033,idiom,,false
in no time,мигом; в мгновение ока,30034,idiom,,false
in a roundabout way,окольным путём; обиняками,30035,idiom,,false
in tip-top shape,в отличной форме,30036,idiom,,false
my HEART ain't in it,душа не лежит к этому,30037,idiom,,false
Here/there we go/ Here/there you are,ну вот; держите; пожалуйста,30038,interjection,,false
going places (very specific!),далеко пойти; добиться успеха,30039,idiom,,false
in the BOONDOCKS,в глуши; у чёрта на куличках,30040,idiom,,false
Ear de Geaux (what?),произношение на луизианский манер (шутл.),30041,phrase,,false
That should be a crime,это просто преступление; за это судить надо,30042,idiom,,false
For my own good,для моего же блага,30043,idiom,,false
What good is… (what about What bad is...?),какой прок от…; что толку в…,30044,phrase,,false
A goodie-goodie / a goody two-shoes,паинька; примерный до приторности,30045,idiom,,false
to loom large,нависать; маячить угрожающе,30046,idiom,,false
no good,никудышный; никчёмный,30047,adj,,false
highly overrated,сильно переоценённый,30048,adj,,false
STEM degrees,дипломы по точным наукам (STEM),30049,noun,,false
Doesn't hold a candle to,в подмётки не годится,30050,idiom,,false
first base,первая база; первый шаг в отношениях,30051,noun,,false
messed/screwed up PLUS one more!,напортачить; облажаться; запороть,30052,idiom,,false
slow as molasses,медлительный как черепаха,30053,idiom,,false
"You scratch my back, I'll scratch yours","ты мне, я тебе; рука руку моет",30054,idiom,,false
I rest my case,мне больше нечего добавить; вопрос исчерпан,30055,idiom,,false
"t-shirt, dress shirt, sweatshirt, undershirt","футболка, рубашка, толстовка, майка",30056,noun,,false
it is what it is,так уж вышло; ничего не поделаешь,30057,idiom,,false
consensus,единое мнение; консенсус,30058,noun,,false
a XXX state of mind,особое расположение духа; настрой,30059,idiom,,false
stomping grounds,родные места; излюбленное место,30060,idiom,,false
my way or the highway,делай по-моему или убирайся,30061,idiom,,false
drama queen,истеричка; любитель(ница) драмы,30062,noun,,false
pet name,ласковое прозвище,30063,noun,,false
pet peeve,"то, что бесит; больная мозоль",30064,idiom,,false
at the drop of a hat,не раздумывая; сразу же,30065,idiom,,false
big time,по-крупному; круто; ещё как (разг.),30066,idiom,,false
going rogue,выйти из подчинения; действовать самовольно,30067,idiom,,false
'til the cows come home,до бесконечности; хоть до второго пришествия,30068,idiom,,false
dip your toes in the water,попробовать осторожно; прощупать почву,30069,idiom,,false
SLIM vs SKINNY,стройный против тощего,30070,phrase,,false
can't bear the thought,не выносить даже мысли,30071,idiom,,false
make it through,справиться; выдержать; пережить,30072,phrasal,,true
clammy,"липкий, холодный и влажный (о коже)",30073,adj,,false
soggy vs squishy vs slimy,мокрый против мягкого против склизкого,30074,phrase,,false
to PULL THROUGH,выкарабкаться; поправиться,30075,phrasal,,true
Throw the baby out with the bathwater,выплеснуть с водой и ребёнка,30076,idiom,,false
There's nothing to it,тут нет ничего сложного; проще простого,30077,idiom,,false
a sour mood,дурное настроение; кислое расположение духа,30078,idiom,,false
it's crunch time,горячая пора; решающий момент,30079,idiom,,false
off the bat,сразу; с ходу,30080,idiom,,false
a blood blister,кровяной волдырь,30081,noun,,false
Who knows,кто знает; кто его знает,30082,phrase,,false
He won't want one,он не захочет (брать),30083,phrase,,false
worth a shot,стоит попробовать,30084,idiom,,false
